timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683250403668,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,2
1683250403671,2,vr,200,OK,Thread Group 1-7,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
1683250403674,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403677,4,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403679,3,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403681,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403683,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403685,2,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403686,2,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403687,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403688,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403689,3,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403690,2,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,0
1683250403693,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403693,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403696,4,vr,200,OK,Thread Group 1-8,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403700,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403706,3,vr,200,OK,Thread Group 1-8,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403709,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
1683250403714,3,vr,200,OK,Thread Group 1-8,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
1683250403717,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403720,3,vr,200,OK,Thread Group 1-8,text,true,,13617,123,1,1,http://localhost:3000/vr.html,3,0,1
